LKQD,Spring
1054486,910902
1054494,910903
1053615,910813
1054493,910904
1053617,910905
1054536,910906
1054537,910907
1054539,910908
1054540,910909
1053351,910910
1053619,910911
1054495,910912
1053620,910913
1053618,910914
1053621,910915
1055513,910916
1054985,910917
1054355,910918
1054640,910919
1054538,910920
1054188,910921
1054190,910922
1054189,910923
1055248,910924
1054982,910925
1055461,910926
1054391,910927
1054977,910928
1055199,910929
1055336,910930
1054307,910931
1054191,910932
1053908,910933
1055529,910934
1053910,910935
1054331,910936
1054186,910939
1055103,910941
1055139,910946
1055137,910947
1055138,910948
1054185,910940
1053224,910956
1054177,910943
1054178,910942
1055141,910949
1054176,910945
1054103,910957
1050786,910965
1055273,910960
1055274,910961
1055122,910953
1055120,910954
1054184,910937
1055140,910959
1054179,910944
1055121,910955
1054187,910938
1054196,910950
1055238,910962
1055195,910963
1054197,910951
1054198,910952
1055163,910964