Time,Campaign Name,Requests,Impressions,25% Views,50% Views,75% Views,Complete Views,Viewable Impressions,Clicks,Revenue,Rebate Cost,Net Revenue
9/12/2021,JOS_ParadaisDDB_EC_All_CPV_USD:0.015_:_GeoIP:EC_vtr:70_va:80_SomethingSpecial_Diciembre_62.534_31Dic,9.797,3.665,3.129,3.023,2.718,2.644,2.977,39,"39,66","11,89","27,77"
10/12/2021,JOS_ParadaisDDB_EC_All_CPV_USD:0.015_:_GeoIP:EC_vtr:70_va:80_SomethingSpecial_Diciembre_62.534_31Dic,6.994,3.618,3.098,2.905,2.689,2.619,3.214,60,"39,28","11,8","27,48"
11/12/2021,JOS_ParadaisDDB_EC_All_CPV_USD:0.015_:_GeoIP:EC_vtr:70_va:80_SomethingSpecial_Diciembre_62.534_31Dic,7.336,3.556,3.047,2.939,2.677,2.595,2.968,50,"38,92","11,67","27,26"
12/12/2021,JOS_ParadaisDDB_EC_All_CPV_USD:0.015_:_GeoIP:EC_vtr:70_va:80_SomethingSpecial_Diciembre_62.534_31Dic,8.071,3.608,3.064,2.937,2.698,2.551,3.120,42,"38,26","11,49","26,78"
13/12/2021,JOS_ParadaisDDB_EC_All_CPV_USD:0.015_:_GeoIP:EC_vtr:70_va:80_SomethingSpecial_Diciembre_62.534_31Dic,7.257,3.429,2.915,2.796,2.592,2.464,2.862,44,"36,96","11,09","25,87"
14/12/2021,JOS_ParadaisDDB_EC_All_CPV_USD:0.015_:_GeoIP:EC_vtr:70_va:80_SomethingSpecial_Diciembre_62.534_31Dic,7.594,3.618,3.123,2.939,2.689,2.556,3.098,45,"38,34","11,48","26,86"
15/12/2021,JOS_ParadaisDDB_EC_All_CPV_USD:0.015_:_GeoIP:EC_vtr:70_va:80_SomethingSpecial_Diciembre_62.534_31Dic,8.075,3.547,3.050,2.862,2.672,2.504,2.882,40,"37,56","11,26","26,3"
16/12/2021,JOS_ParadaisDDB_EC_All_CPV_USD:0.015_:_GeoIP:EC_vtr:70_va:80_SomethingSpecial_Diciembre_62.534_31Dic,7.479,3.510,2.967,2.908,2.625,2.515,2.854,60,"37,72","11,3","26,42"
17/12/2021,JOS_ParadaisDDB_EC_All_CPV_USD:0.015_:_GeoIP:EC_vtr:70_va:80_SomethingSpecial_Diciembre_62.534_31Dic,7.378,3.659,3.126,2.973,2.749,2.631,2.972,45,"39,46","11,84","27,62"
18/12/2021,JOS_ParadaisDDB_EC_All_CPV_USD:0.015_:_GeoIP:EC_vtr:70_va:80_SomethingSpecial_Diciembre_62.534_31Dic,5.816,3.866,3.354,3.113,2.925,2.793,3.184,34,"41,9","12,58","29,32"
19/12/2021,JOS_ParadaisDDB_EC_All_CPV_USD:0.015_:_GeoIP:EC_vtr:70_va:80_SomethingSpecial_Diciembre_62.534_31Dic,5.895,3.969,3.397,3.251,2.966,2.790,3.272,54,"41,85","12,56","29,29"
20/12/2021,JOS_ParadaisDDB_EC_All_CPV_USD:0.015_:_GeoIP:EC_vtr:70_va:80_SomethingSpecial_Diciembre_62.534_31Dic,5.982,3.842,3.278,3.132,2.860,2.764,3.206,67,"41,46","12,43","29,03"